ID,Name,Email,Bonus,Report,App,LT
11040600,Nguyễn Văn Không,nvkhong@gmail.com,0,0,0,4.5
11040601,Nguyễn Văn Một,nvmot@outlook.com,2,8,8,5.5
11040602,Nguyễn Văn Hai,nvhai@gmail.com,3,4,7,6
11040603,Nguyễn Văn Ba,nvba@gmail.com,8,9,8,8.5
11040604,Nguyễn Văn Bốn,nvbon@gmail.com,3,7,8,7.5
11040605,Nguyễn Văn Nam,nvnam@gmail.com,1,1,1,3.5
11040606,Nguyễn Văn Sáu,nvsau@gmail.com,8,9,8,9
11040607,Nguyễn Văn Bảy,nvbay@gmail.com,5,6,7,8
11040608,Nguyễn Văn Tám,nvtam@gmail.com,7,6,7,7.5
11040609,Nguyễn Văn Chín,nvchin@gmail.com,4,5,8,6
11040610,Nguyễn Văn Mười,nvmuoi@gmail.com,6,6,7,6
11040611,Nguyễn Văn Mười Một,nvmuoi@gmail.com,6,5,5,5.5
11040612,Nguyễn Văn Mười Hai,nvmuoi@gmail.com,6,6,4,3
11040613,Nguyễn Văn Mười Ba,nvmuoi@gmail.com,6,6,9,6.5
11040614,Nguyễn Văn Mười Bốn,nvmuoi@gmail.com,3,4,5,5
11040615,Nguyễn Văn Mười Năm,nvmuoi@gmail.com,6,6,3,6
